filename,tissue_type
0001.png,Necrose
0002.png,Granulação
0003.png,Esfacelo
0004.png,Esfacelo
0005.png,Esfacelo
0006.png,Esfacelo
0007.png,Esfacelo
0008.png,Granulação
0009.png,Necrose
0010.png,Esfacelo
0011.png,Granulação
0012.png,Granulação
0013.png,Granulação
0014.png,Esfacelo
0015.png,Granulação
0016.png,Esfacelo
0017.png,Epitelização
0018.png,Granulação
0019.png,Necrose
0020.png,Granulação
0021.png,Necrose
0022.png,NI
0023.png,Granulação
0024.png,Granulação
0025.png,Necrose
0026.png,NI
0027.png,Granulação
0028.png,Granulação
0029.png,Necrose
0030.png,Granulação
0031.png,Esfacelo
0032.png,Esfacelo
0033.png,Esfacelo
0034.png,NI
0035.png,Necrose
0036.png,NI
0037.png,Epitelização
0038.png,Epitelização
0039.png,Necrose
0040.png,Granulação
0041.png,Necrose
0042.png,Granulação
0043.png,Necrose
0044.png,NI
0045.png,Esfacelo
0046.png,NI
0047.png,Granulação
0048.png,Necrose
0049.png,Esfacelo
0050.png,Necrose
0051.png,Necrose
0052.png,Necrose
0053.png,NI
0054.png,Granulação
0055.png,Esfacelo
0056.png,Necrose
0057.png,Granulação
0058.png,Granulação
0059.png,Esfacelo
0060.png,Granulação
0061.png,Granulação
0062.png,Granulação
0063.png,Granulação
0064.png,Granulação
0065.png,Necrose
0066.png,Granulação
0067.png,NI
0068.png,Necrose
0069.png,Granulação
0070.png,Granulação
0071.png,NI
0072.png,Granulação
0073.png,Esfacelo
0074.png,Esfacelo
0075.png,NI
0076.png,Esfacelo
0077.png,Granulação
0078.png,Granulação
0079.png,Esfacelo
0080.png,Granulação
0081.png,Granulação
0082.png,Esfacelo
0083.png,Granulação
0084.png,Granulação
0085.png,Granulação
0086.png,Granulação
0087.png,Esfacelo
0088.png,Granulação
0089.png,Granulação
0090.png,Necrose
0091.png,Granulação
0092.png,NI
0093.png,Esfacelo
0094.png,Esfacelo
0095.png,Granulação
0096.png,Granulação
0097.png,Esfacelo
0098.png,Granulação
0099.png,Granulação
0100.png,NI
0101.png,NI
0102.png,Granulação
0103.png,NI
0104.png,Granulação
0105.png,Granulação
0106.png,Granulação
0107.png,Granulação
0108.png,Granulação
0109.png,Esfacelo
0110.png,NI
0111.png,Granulação
0112.png,Granulação
0113.png,Granulação
0114.png,Granulação
0115.png,Necrose
0116.png,Necrose
0117.png,Necrose
0118.png,Necrose
0119.png,Necrose
0120.png,Granulação
0121.png,Granulação
0122.png,Esfacelo
0123.png,Granulação
0124.png,Esfacelo
0125.png,Necrose
0126.png,Esfacelo
0127.png,Granulação
0128.png,NI
0129.png,Granulação
0130.png,NI
0131.png,Necrose
0132.png,Granulação
0133.png,Necrose
0134.png,Esfacelo
0135.png,Necrose
0136.png,Necrose
0137.png,Necrose
0138.png,Granulação
0139.png,Necrose
0140.png,Esfacelo
0141.png,Granulação
0142.png,Granulação
0143.png,Granulação
0144.png,Granulação
0145.png,Granulação
0146.png,Granulação
0147.png,Granulação
0148.png,Necrose
0149.png,Granulação
0150.png,Esfacelo
0151.png,Granulação
0152.png,Granulação
0153.png,NI
0154.png,Granulação
0155.png,Granulação
0156.png,Granulação
0157.png,Granulação
0158.png,Granulação
0159.png,Granulação
0160.png,Granulação
0161.png,Granulação
0162.png,Granulação
0163.png,Granulação
0164.png,Granulação
0165.png,Granulação
0166.png,Granulação
0167.png,Granulação
0168.png,NI
0169.png,Granulação
0170.png,Granulação
0171.png,Granulação
0172.png,Granulação
0173.png,Esfacelo
0174.png,Granulação
0175.png,Granulação
0176.png,Esfacelo
0177.png,Necrose
0178.png,Granulação
0179.png,Granulação
0180.png,Necrose
0181.png,Granulação
0182.png,Granulação
0183.png,Necrose
0184.png,Esfacelo
0185.png,Necrose
0186.png,Granulação
0187.png,Necrose
0188.png,Granulação
0189.png,NI
0190.png,Granulação
0191.png,Granulação
0192.png,Granulação
0193.png,Granulação
0194.png,Esfacelo
0195.png,Esfacelo
0196.png,Granulação
0197.png,Esfacelo
0198.png,Granulação
0199.png,Granulação
0200.png,Granulação
0201.png,Granulação
0202.png,Granulação
0203.png,Granulação
0204.png,Necrose
0205.png,Necrose
0206.png,Necrose
0207.png,NI
0208.png,Esfacelo
0209.png,Esfacelo
0210.png,Granulação
0211.png,Granulação
0212.png,Granulação
0213.png,Granulação
0214.png,Granulação
0215.png,NI
0216.png,Granulação
0217.png,Esfacelo
0218.png,Granulação
0219.png,Esfacelo
0220.png,Granulação
0221.png,Granulação
0222.png,Necrose
0223.png,Granulação
0224.png,NI
0225.png,Granulação
0226.png,Necrose
0227.png,Granulação
0228.png,Granulação
0229.png,Esfacelo
0230.png,Granulação
0231.png,Esfacelo
0232.png,Granulação
0233.png,Granulação
0234.png,Granulação
0235.png,Necrose
0236.png,Esfacelo
0237.png,Granulação
0238.png,Granulação
0239.png,Granulação
0240.png,Granulação
0241.png,Esfacelo
0242.png,Granulação
0243.png,NI
0244.png,Granulação
0245.png,Epitelização
0246.png,Esfacelo
0247.png,Necrose
0248.png,Granulação
0249.png,Esfacelo
0250.png,Esfacelo
0251.png,NI
0252.png,Necrose
0253.png,NI
0254.png,NI
0255.png,Granulação
0256.png,Granulação
0257.png,Granulação
0258.png,Granulação
0259.png,NI
0260.png,Necrose
0261.png,Granulação
0262.png,Esfacelo
0263.png,Granulação
0264.png,Granulação
0265.png,Esfacelo
0266.png,Granulação
0267.png,Granulação
0268.png,Esfacelo
0269.png,Granulação
0270.png,Granulação
0271.png,Granulação
0272.png,Necrose
0273.png,Granulação
0274.png,Granulação
0275.png,Granulação
0276.png,Granulação
0277.png,Necrose
0278.png,Granulação
0279.png,Granulação
0280.png,Granulação
0281.png,Necrose
0282.png,Esfacelo
0283.png,Granulação
0284.png,Granulação
0285.png,Granulação
0286.png,Esfacelo
0287.png,Granulação
0288.png,NI
0289.png,Granulação
0290.png,Esfacelo
0291.png,Esfacelo
0292.png,Esfacelo
0293.png,Esfacelo
0294.png,NI
0295.png,Granulação
0296.png,Granulação
0297.png,Granulação
